column,median
k_2_by,-279.0
k_4_by,-102.0
k_6_by,-49.0
k_8_by,-272.0
k_22_by,-398.5
k_23_by,-278.0
k_24_by,-358.5
k_25_by,-283.5
k_26_by,-283.5
k_28_by,-285.5
k_29_by,-229.0
k_30_by,-260.0
k_31_by,-191.0
k_36_by,-178.5
k_39_by,-121.5
k_40_by,-139.0
k_48_by,-97.0
k_49_by,-85.0
k_50_by,-83.0
k_51_by,-108.0
k_52_by,-111.0
k_58_by,-112.0
k_62_by,-60.0
k_63_by,-56.5
k_64_by,-56.0
k_65_by,-53.0
k_66_by,-54.0
k_70_by,-60.0
k_72_by,-91.0
k_73_by,-63.0
k_74_by,-48.0
k_75_by,-31.0
k_76_by,-27.0
k_77_by,-28.0
k_79_by,-29.0
k_80_by,-20.5
k_82_by,-26.0
k_86_by,-3.0
k_87_by,-33.5
k_88_by,-27.0
k_90_by,-23.0
k_91_by,-20.0
k_92_by,-23.0
k_93_by,-2.0
k_96_by,-23.0
k_97_by,-20.5
k_98_by,-29.0
k_100_by,-10.0
k_107_by,-20.0
k_111_by,-25.0
k_117_by,2.5
k_118_by,0.0
k_119_by,-1.0
k_121_by,2.0
k_125_by,-7.0
k_126_by,7.0
k_127_by,20.0
k_128_by,-20.0
k_130_by,8.0
k_131_by,-8.0
k_132_by,3.0
k_133_by,-3.0
k_134_by,-4.0
k_135_by,4.0
k_136_by,-19.0
k_137_by,-4.0
k_138_by,2.0
k_143_by,-16.5
k_144_by,20.0
k_147_by,0.0
k_149_by,-407.0
k_150_by,6.0
k_151_by,-6.0
k_152_by,-2.0
k_156_by,-19.5
k_157_by,19.5
k_158_by,3.0
k_159_by,1.0
k_162_by,6.0
k_163_by,9.5
k_164_by,-3.0
k_165_by,-11.0
k_166_by,12.0
k_168_by,14.0
k_169_by,4.0
k_173_by,0.0
k_176_by,31.0
k_177_by,29.5
k_178_by,22.5
k_179_by,25.5
k_180_by,30.0
k_181_by,28.0
k_182_by,25.0
k_183_by,31.0
k_184_by,34.0
k_185_by,37.0
k_186_by,24.5
k_188_by,43.5
k_191_by,40.0
k_193_by,32.0
k_194_by,41.5
k_195_by,41.0
k_196_by,40.0
k_197_by,3.0
k_198_by,30.0
k_199_by,41.0
k_201_by,31.0
k_202_by,45.5
k_204_by,31.0
k_205_by,38.0
k_206_by,36.0
k_207_by,42.0
k_210_by,20.0
k_212_by,50.0
k_214_by,22.0
k_220_by,25.0
k_221_by,43.5
k_230_by,32.0
k_231_by,41.0
k_234_by,38.0
k_235_by,42.0
k_238_by,55.0
k_240_by,56.0
k_243_by,60.0
k_244_by,57.0
k_245_by,53.0
k_248_by,60.0
k_250_by,76.0
k_251_by,70.0
k_252_by,105.0
k_253_by,83.0
k_254_by,108.0
k_255_by,95.0
k_256_by,75.0
